"","Nov","Div","Dit","LEA","L_A","AES","E_I","ENT","RES","EMO","I_S","PRA","O_P","MET","FAC","I_E","FAM","DEF","G_M","INT","S_S","V_S","T_M","REN","SOC","DIS","HAR","T_E"
"17",6,6,3,7,5,7,6,5,8,7,9,7,4,5,6,4,7,4,4,6,7,7,9,9,6,6,12,9
"18",9,4,7,3,4,2,6,5,7,4,9,7,3,6,4,5,6,5,4,7,6,5,5,6,7,8,6,7
"19",7,8,9,7,7,5,8,5,6,6,10,8,6,5,4,2,8,9,3,5,7,3,9,11,10,10,11,8
"20",6,7,7,9,7,8,7,5,6,6,14,6,6,6,8,3,4,10,2,4,10,2,11,10,8,10,8,6
"21",3,4,3,6,5,4,6,6,2,5,9,5,4,6,5,3,6,4,2,5,6,3,7,6,6,5,6,5
"22",4,5,7,5,5,6,7,5,5,6,7,8,6,3,3,4,3,5,5,5,2,5,8,1,5,5,10,4
"23",5,9,5,6,6,9,7,3,2,4,12,6,6,6,4,2,5,5,3,4,5,7,9,10,5,6,9,7
"24",5,5,5,6,5,6,8,5,8,7,8,8,5,7,9,5,3,6,6,5,6,5,11,7,5,8,10,5
"25",1,5,8,3,5,5,8,3,6,2,6,7,7,5,6,3,10,7,5,4,3,2,11,11,8,9,11,8
"26",1,4,7,5,5,6,4,5,5,4,6,8,5,3,6,3,8,5,2,6,4,4,10,10,6,8,9,7
"27",5,8,5,3,5,4,10,4,6,1,3,7,8,6,5,1,7,2,8,6,5,7,8,9,5,6,10,5
"28",6,7,8,9,7,9,7,7,5,6,13,7,6,5,10,2,4,10,2,3,10,3,8,9,10,9,8,6
"29",8,8,8,2,8,8,7,4,7,5,7,8,5,6,3,3,8,3,10,2,5,5,13,9,6,9,12,5
"30",6,7,7,3,3,6,6,6,6,6,7,8,7,8,6,3,5,9,4,4,6,4,7,6,8,8,6,5
"31",4,5,6,6,6,3,6,3,5,3,12,6,5,6,5,3,1,7,2,2,9,5,11,10,7,8,8,6
"32",6,4,5,10,8,8,6,5,6,3,15,6,5,5,8,3,4,7,6,4,8,6,9,8,5,7,7,8
"33",2,5,7,4,5,5,9,3,6,3,5,7,5,8,8,2,10,2,5,6,1,7,7,10,10,8,13,7
"34",6,4,7,8,3,4,8,4,3,7,9,7,5,6,9,1,6,8,3,8,6,1,7,9,6,7,8,4
"35",9,8,9,5,6,5,8,8,6,0,6,8,6,6,2,3,7,4,6,9,4,9,6,8,8,8,12,5
"36",7,5,6,4,3,5,7,7,6,4,6,4,5,6,3,6,6,3,4,5,6,6,6,5,6,5,9,6
"37",6,7,8,3,5,2,7,4,7,2,9,8,8,7,3,2,7,5,5,9,4,5,8,4,5,6,9,4
"38",8,6,6,9,9,7,7,8,4,3,6,9,7,8,5,5,7,5,9,5,6,5,14,9,10,9,12,7
"39",2,5,5,6,4,4,6,5,6,3,8,8,5,5,6,6,7,4,5,3,7,4,9,11,6,6,5,7
"40",6,6,7,8,6,8,7,5,6,7,12,8,6,5,8,3,4,8,3,3,9,2,10,9,10,9,9,7
"41",4,5,4,3,7,6,6,8,6,2,4,5,8,7,4,4,9,3,8,3,3,6,5,6,5,4,10,3
"42",7,8,6,3,6,4,6,3,6,6,7,6,7,6,6,3,5,5,3,6,5,7,10,8,10,9,12,7
"43",6,8,7,6,5,6,9,8,7,1,4,10,6,8,5,7,9,4,8,5,5,10,6,10,6,5,12,4
"44",8,8,8,8,5,7,5,7,6,5,7,7,8,5,8,1,8,5,8,6,5,3,8,9,8,7,9,2
"45",2,7,6,5,6,6,4,5,5,5,10,7,6,5,5,7,4,2,4,2,6,5,7,8,6,5,6,7
"46",5,7,8,4,5,5,4,7,5,2,13,6,4,4,6,3,2,7,4,4,7,3,6,9,8,7,7,5
"47",6,7,9,7,9,6,8,4,5,4,6,8,5,7,6,2,9,7,2,3,6,3,10,11,7,11,10,7
"48",4,6,8,2,4,6,5,5,7,3,9,7,5,8,5,5,5,6,3,3,7,2,11,8,9,9,8,4
"49",7,7,8,7,8,5,7,5,7,9,12,7,4,5,7,1,5,8,1,3,6,3,8,6,8,6,8,5
"50",6,5,6,5,4,5,8,8,7,0,2,10,8,9,5,6,6,3,9,8,2,9,9,9,7,3,11,6
"51",7,8,8,3,5,8,3,2,7,2,2,7,4,6,8,3,8,3,5,3,4,4,5,8,7,9,12,4
"52",6,4,5,6,7,2,7,3,5,5,13,7,4,8,6,6,3,7,6,5,4,4,8,6,3,4,8,6
"53",2,6,4,2,6,3,5,5,7,2,5,10,6,7,5,3,7,1,7,8,4,10,7,8,8,3,12,5
"54",6,3,6,3,5,6,9,2,6,6,8,7,4,5,4,1,9,5,4,5,1,6,13,8,11,9,9,7
"55",5,4,3,3,2,2,5,7,6,6,4,6,3,3,1,5,6,2,9,5,2,8,8,7,7,2,9,5
"56",9,7,7,6,7,4,9,6,8,2,4,8,7,7,4,5,10,5,7,6,3,6,7,9,11,6,10,1
"57",6,9,2,4,8,3,8,8,8,2,1,12,9,4,3,5,8,1,8,10,3,9,6,9,7,4,11,6
"58",6,5,7,4,9,4,7,6,6,6,12,5,6,6,5,6,4,5,5,2,6,4,5,5,6,7,10,5
"59",8,8,7,10,8,7,10,8,6,3,5,10,7,6,5,4,9,6,6,6,4,7,10,10,8,8,14,3
"60",6,8,7,6,7,5,9,2,6,6,10,3,4,2,4,2,6,6,5,4,5,3,11,9,9,7,10,5
"61",5,5,5,4,5,4,3,4,3,5,10,7,3,2,7,6,7,8,3,5,7,6,10,8,5,10,9,3
"62",5,6,7,6,7,6,7,7,4,5,10,6,7,8,6,7,5,4,4,6,3,6,8,3,7,4,7,6
"63",5,6,5,4,3,4,4,5,8,5,8,9,4,5,3,5,5,6,4,6,6,4,8,7,5,7,8,2
"64",6,8,6,2,3,5,8,5,6,4,6,6,5,7,4,0,8,5,6,9,6,6,8,8,8,6,10,4
"65",8,6,6,10,6,5,7,7,8,1,4,12,10,7,6,7,9,4,8,7,5,7,11,9,9,9,10,6
"66",4,7,6,7,3,7,7,5,4,6,10,7,4,4,7,3,7,7,1,3,9,2,10,11,11,8,5,6
"67",5,6,7,8,4,6,4,5,3,6,10,7,4,7,7,3,3,5,4,4,6,4,9,6,5,9,7,8
"68",5,8,7,5,3,3,5,4,7,2,9,4,4,4,4,4,4,6,5,4,4,5,9,9,7,5,8,9
"69",1,3,2,2,2,3,0,2,2,1,8,7,7,3,3,6,8,2,9,6,4,9,11,9,6,6,9,8
"70",8,8,6,6,9,2,8,7,10,1,1,11,9,8,4,6,10,0,7,7,4,10,10,9,9,7,11,7
"71",5,6,7,6,7,5,8,4,6,2,10,4,4,6,4,3,9,2,5,5,3,7,12,8,8,10,12,4
"72",4,5,5,1,4,4,4,2,2,8,11,6,3,9,4,6,6,6,6,5,3,5,11,7,5,6,13,3
"73",2,6,5,3,6,6,5,4,5,4,10,6,5,4,6,3,7,2,7,1,5,5,9,10,6,7,9,7
"74",1,5,5,0,3,5,7,5,6,5,11,9,6,3,6,4,9,1,7,2,1,5,8,9,10,5,8,4
"75",6,6,4,5,7,4,5,8,5,6,13,5,6,6,6,4,5,3,8,8,4,4,7,7,6,6,5,3
"76",5,4,6,7,5,8,6,2,5,5,9,6,3,3,7,5,3,9,3,4,6,4,8,9,8,8,6,6
"77",6,3,4,7,6,5,8,6,5,7,12,6,6,7,5,5,3,6,2,4,7,2,5,6,8,8,6,6
"78",10,6,8,8,8,6,7,9,9,5,4,11,6,8,4,8,7,4,9,7,8,8,7,10,9,8,11,7
"79",10,9,10,8,10,9,9,8,8,3,1,7,9,9,3,4,7,1,8,9,5,10,5,11,11,6,13,4
"80",5,6,3,6,4,3,7,7,4,3,11,9,4,4,5,2,8,2,5,6,4,5,12,10,7,6,8,7
"81",6,8,4,9,4,5,2,3,5,4,9,8,4,5,5,4,2,8,4,5,7,4,8,5,8,8,4,4
"82",7,6,6,7,6,6,7,4,4,4,9,8,7,5,5,6,3,3,8,5,6,3,7,7,1,6,10,5
"83",9,6,6,8,4,9,5,6,6,8,5,6,4,2,4,4,5,3,8,9,3,8,2,8,9,6,11,5
"84",4,8,7,4,4,1,8,2,8,6,6,6,7,7,7,4,7,3,5,3,3,6,8,10,8,5,9,4
"85",8,6,7,5,9,6,8,5,5,4,3,9,6,6,5,4,8,2,9,7,2,7,7,8,4,4,10,5
"86",8,10,7,5,6,6,8,4,5,5,5,12,6,5,3,3,9,1,8,8,5,8,10,9,9,8,14,6
"87",7,8,6,8,7,3,9,4,4,5,7,5,2,5,5,6,8,4,5,8,2,7,10,10,10,7,9,5
"88",9,10,9,9,8,6,9,7,4,3,4,10,7,4,2,6,10,0,10,10,6,10,2,7,9,2,13,4
"89",0,0,1,1,3,2,4,0,9,6,7,10,2,8,6,3,9,1,7,8,3,6,13,10,7,9,10,10
"90",5,5,2,7,8,5,6,4,6,2,10,8,6,4,5,5,5,6,5,7,5,6,9,5,7,8,6,4
"91",9,7,7,8,8,7,8,6,5,10,7,7,3,6,8,1,2,5,5,7,6,8,4,10,10,6,12,5
"92",3,9,3,4,8,3,6,9,10,6,3,9,7,5,3,1,8,2,7,9,4,10,8,10,10,8,11,6
"93",4,10,3,7,7,8,7,6,7,4,0,8,6,4,4,6,9,2,8,10,2,9,6,7,7,7,12,5
"94",5,5,3,7,8,5,7,6,6,2,12,8,5,3,5,6,5,7,6,8,5,6,10,6,7,8,6,4
"95",5,6,5,2,6,4,6,4,9,3,8,8,10,6,5,4,9,2,10,7,2,9,7,8,7,8,10,7
"96",9,7,9,7,9,4,8,3,5,2,2,10,8,7,4,6,8,2,7,8,4,9,5,10,9,7,14,7
"97",9,5,3,6,5,6,9,7,7,2,6,9,8,4,4,9,9,1,7,8,2,8,6,9,6,3,9,7
"98",9,8,4,8,9,8,9,8,8,1,2,9,6,7,5,7,9,3,6,7,6,8,7,9,9,8,12,5
"99",10,8,7,9,8,7,5,6,8,6,3,10,3,6,5,4,9,1,8,6,8,10,7,12,11,9,13,9
"100",9,9,9,9,7,7,9,6,7,5,2,9,6,4,10,2,9,3,8,7,3,5,6,12,10,5,12,4
"101",7,7,6,7,8,3,6,4,4,4,8,7,1,7,5,5,9,1,9,5,1,8,4,10,9,6,9,8
"102",10,9,8,10,6,7,7,4,7,3,4,8,8,4,7,7,8,2,7,8,7,6,3,9,9,6,10,3
"103",5,3,6,4,5,7,3,3,6,3,12,4,4,3,5,7,6,7,4,3,4,4,9,8,6,3,4,2
"104",6,3,4,2,6,4,4,3,5,5,6,5,6,4,5,7,10,3,9,6,1,9,9,10,8,7,10,5
"105",10,7,9,5,8,7,6,6,7,4,5,9,5,7,6,7,8,1,6,3,7,9,10,10,10,6,13,4
"106",5,6,5,4,4,3,7,5,4,4,7,6,7,7,4,1,9,1,6,5,4,5,5,9,7,4,12,4
"107",7,10,8,9,10,6,8,9,8,5,0,8,7,8,6,7,8,0,9,7,2,9,3,11,10,3,12,7
"108",10,8,10,8,10,5,10,4,1,8,3,9,8,5,6,7,8,4,6,8,2,10,6,12,8,9,10,6
"109",7,4,7,7,7,3,8,7,9,2,2,8,6,8,8,7,9,3,7,7,5,3,6,9,8,3,9,4
"110",3,5,6,6,5,6,7,9,5,2,8,7,5,8,2,6,6,7,4,7,6,7,6,10,6,8,10,7
"111",4,7,7,7,6,3,4,8,6,5,6,8,5,9,4,7,8,2,7,6,7,7,4,8,5,4,7,4
"112",7,7,6,8,5,5,6,6,5,6,6,8,4,5,5,5,6,4,6,7,4,7,6,10,9,8,8,4
"113",7,4,6,4,4,6,7,7,6,6,9,6,5,3,7,7,7,6,5,5,5,8,12,7,7,10,12,7
"114",5,8,6,5,4,6,6,3,6,8,7,6,3,6,6,7,7,0,7,8,3,5,4,9,8,8,11,4
"115",6,7,4,3,5,6,6,3,7,7,5,7,5,5,6,7,8,1,6,7,5,7,8,9,8,7,7,5
"116",4,8,5,4,3,3,1,2,6,8,9,9,3,2,5,5,2,2,7,9,2,8,1,10,7,4,10,7
"117",8,9,10,10,7,5,9,9,6,5,1,11,8,3,3,7,9,0,9,10,1,10,5,9,8,4,11,8
"118",4,6,2,1,4,4,7,3,5,9,9,3,4,6,8,1,5,3,7,7,2,7,6,7,10,4,11,1
"119",9,9,8,7,7,8,9,3,2,3,5,5,4,5,7,8,7,2,8,9,3,6,4,8,10,2,9,7
"120",9,7,5,6,8,9,4,8,7,3,1,7,7,4,2,8,9,0,9,9,4,9,1,9,7,3,10,6
"121",8,9,2,0,5,7,5,0,2,10,11,4,2,3,10,1,5,2,7,4,1,5,9,10,9,5,11,7
"122",3,9,6,5,4,6,7,6,8,2,5,9,9,3,5,6,8,1,9,8,4,9,8,9,10,6,12,5
"123",5,7,6,1,5,7,1,2,4,4,7,5,5,2,10,4,8,5,5,8,5,6,10,10,8,5,12,5
"124",7,6,6,7,7,6,6,6,8,3,4,7,5,3,5,4,4,5,6,6,5,8,10,9,8,5,13,6
"125",6,6,7,5,8,9,4,4,10,4,7,6,6,7,8,3,9,5,9,4,5,8,9,11,11,5,13,6
"126",8,9,9,9,7,8,8,8,9,1,1,11,10,8,3,9,9,1,10,10,4,10,4,5,9,6,11,9
"127",8,8,8,5,6,7,8,5,5,9,6,5,6,4,6,6,4,7,4,6,9,7,4,10,6,6,9,6
"128",8,8,8,3,6,4,8,3,6,6,4,10,7,2,8,6,8,3,7,10,3,10,6,12,7,3,12,6
"129",3,8,8,1,6,6,7,8,9,1,5,7,4,9,7,6,9,0,7,5,3,9,10,7,11,7,12,5
"130",7,4,5,2,8,3,4,5,9,0,1,11,6,10,3,5,9,3,9,8,3,9,10,10,9,8,11,7
"131",8,8,7,7,8,9,8,6,8,3,3,9,5,6,4,6,9,2,9,6,6,9,12,10,9,7,14,6
"132",6,7,8,9,7,3,9,9,6,5,0,11,9,5,2,7,8,1,9,7,3,9,8,9,10,7,9,4
"133",5,6,7,1,6,5,9,8,10,2,3,11,8,8,3,7,8,2,8,7,4,9,10,9,8,8,12,8
"134",8,7,4,8,4,5,4,5,4,6,11,9,3,6,6,4,4,5,2,5,9,3,11,6,8,8,10,7
"135",8,8,8,9,4,8,6,2,5,5,13,6,4,5,7,2,5,6,2,3,8,2,8,7,7,10,8,6
"136",5,8,8,4,7,6,4,1,4,5,12,7,4,5,9,2,4,8,4,1,6,7,9,11,9,5,14,9
"137",6,6,5,5,5,2,6,7,6,4,9,7,6,4,7,7,4,6,6,5,5,8,9,7,7,2,9,5
"138",7,9,8,6,8,5,8,6,7,5,1,8,8,5,4,9,9,3,10,8,1,10,6,10,10,4,13,5
"139",8,8,8,7,8,8,6,7,4,6,4,6,5,4,6,8,8,1,10,7,4,9,5,9,9,6,9,6
"140",7,8,8,7,6,7,8,4,5,8,10,7,5,6,10,3,4,7,2,5,7,6,4,10,9,6,10,1
"141",8,10,10,6,9,10,9,9,10,2,1,8,6,10,7,6,9,0,8,8,0,10,8,11,10,5,13,8
"142",3,4,4,3,4,3,6,5,5,7,7,6,5,6,3,6,8,4,6,2,3,6,5,9,8,2,11,6
"143",4,4,4,3,3,2,0,3,7,3,4,7,7,6,7,3,7,5,6,3,3,6,9,12,8,7,10,7
"144",3,4,3,0,4,7,3,3,4,7,11,7,1,4,9,2,8,3,7,3,1,6,10,7,6,5,6,7
"145",5,7,6,2,7,5,6,3,4,8,10,7,5,5,8,5,5,8,2,3,3,4,9,9,9,8,7,6
"146",5,7,7,4,3,3,4,4,6,6,8,8,5,5,8,7,9,4,9,4,6,9,8,7,6,4,7,5
"147",8,8,7,10,6,7,7,9,4,5,4,9,5,6,7,9,7,8,4,4,4,7,11,8,10,10,11,7
"148",6,9,5,5,5,8,5,6,7,6,3,7,4,4,4,8,8,2,6,8,4,10,7,10,6,6,12,7
"149",7,8,6,6,5,2,3,6,3,5,6,7,3,5,6,4,8,6,7,4,3,3,9,11,10,7,11,6
"150",4,8,7,6,5,6,4,4,5,3,10,7,4,5,7,7,8,4,4,4,5,8,5,9,7,8,9,5
"151",6,5,3,3,4,5,6,2,4,5,9,7,3,6,4,4,8,3,9,5,4,10,11,12,10,7,12,6
"152",8,8,6,3,8,5,6,6,9,2,4,9,6,8,5,4,8,2,7,6,6,10,13,9,9,8,13,10
"153",7,10,6,6,3,9,7,7,5,4,4,10,8,3,4,6,5,2,10,9,4,7,6,9,10,4,11,7
"154",6,9,5,3,6,7,9,7,7,5,7,7,8,5,4,6,8,2,4,9,5,7,5,8,7,5,11,4
"155",7,4,6,3,5,2,4,4,4,5,10,6,5,3,6,8,5,6,6,7,5,6,5,11,8,5,9,8
"156",1,5,4,2,1,1,3,2,6,4,13,6,5,3,6,5,7,3,9,4,3,9,6,10,5,6,12,5
"157",9,6,5,6,9,8,6,6,7,1,6,9,7,8,5,7,9,3,9,5,5,8,5,7,7,4,11,6
"158",10,6,8,5,9,8,7,7,10,3,1,10,6,6,5,4,9,3,6,7,4,9,6,11,7,6,12,8
"159",7,8,8,3,4,7,9,8,10,0,4,10,8,8,3,6,6,0,8,8,3,9,10,6,10,8,12,8
"160",8,5,5,4,9,5,6,8,9,2,4,8,4,6,4,3,8,1,7,6,3,10,9,9,9,7,12,5
"161",7,4,8,6,10,0,6,5,7,4,8,8,3,5,6,4,7,6,4,3,7,8,5,7,9,8,7,7
"162",8,8,9,9,7,6,8,7,9,0,3,11,8,9,4,6,9,1,8,4,5,9,9,11,9,11,12,6
"163",7,3,2,4,4,5,8,3,5,6,7,5,5,5,5,5,5,2,8,1,3,3,7,7,5,5,8,3
"164",4,5,4,3,7,6,3,4,6,2,7,5,6,7,4,6,0,5,4,2,3,4,8,6,3,6,8,5
"165",7,8,8,6,6,3,6,5,5,1,2,8,7,6,8,7,8,2,10,8,3,9,4,8,6,4,11,8
"166",5,8,5,9,5,4,5,8,7,6,5,5,7,6,7,6,7,4,7,2,5,5,5,9,7,7,10,5
"167",5,4,3,6,6,5,9,4,5,4,7,8,6,6,4,2,6,6,6,4,4,6,9,5,6,6,7,9
"168",3,4,5,0,5,3,3,5,4,2,5,9,8,6,5,6,8,1,7,6,1,6,7,10,5,5,10,5
"169",7,3,5,5,7,6,6,4,5,6,11,6,6,5,6,5,6,7,6,6,5,3,5,8,5,4,9,7
"170",7,5,5,2,6,4,6,6,8,4,8,4,7,2,2,6,4,4,2,5,4,5,8,2,6,6,5,4
"171",5,4,4,8,6,6,4,4,6,7,9,5,5,6,4,8,8,4,6,3,2,3,6,6,5,8,8,6
"172",6,8,7,4,4,5,7,3,7,5,7,6,3,5,9,5,6,9,7,3,3,4,10,9,8,7,12,8
"173",4,7,3,6,6,6,7,8,5,4,7,6,6,5,6,6,7,3,9,4,1,4,7,4,8,2,9,6
"174",5,2,7,5,6,5,5,6,2,8,8,6,4,4,7,5,5,3,6,6,7,2,7,8,3,7,6,7
"175",3,5,3,2,6,3,3,5,5,3,6,8,8,4,3,7,5,1,7,4,2,8,8,6,5,2,11,8
"176",4,4,6,6,4,6,2,4,4,3,10,6,8,8,6,6,7,2,4,4,9,2,8,3,7,6,10,7
"177",3,5,3,1,6,3,3,5,7,3,6,8,8,4,3,7,5,2,7,5,2,8,6,5,5,2,11,8
"178",5,3,7,4,7,3,5,5,7,8,11,7,5,5,4,4,5,5,5,6,4,4,9,5,4,5,6,7
"179",4,7,7,6,5,4,6,5,6,5,12,5,5,5,9,4,5,6,4,4,3,7,7,6,7,6,7,4
"180",5,5,6,5,5,4,5,4,3,8,6,6,4,9,5,6,5,6,6,7,6,6,6,4,5,5,5,6
"181",7,7,5,3,7,3,4,3,6,5,8,6,6,7,5,3,6,7,7,5,4,5,6,3,4,6,4,7
"182",4,5,5,6,5,4,4,2,5,2,9,5,3,8,6,4,5,6,4,7,4,4,7,5,5,6,5,7
"183",8,9,5,5,7,5,9,6,3,7,12,6,3,2,6,3,7,3,8,8,3,4,5,11,6,5,7,1
"184",7,7,6,3,5,3,9,4,4,6,7,4,2,6,7,6,9,3,7,7,2,8,7,8,7,6,9,5
"185",4,7,7,7,5,6,8,4,5,4,10,7,7,4,5,5,6,4,8,4,8,8,7,10,8,7,11,5
"186",4,6,7,6,4,4,6,2,7,6,10,3,3,5,5,7,6,6,4,6,5,5,5,5,5,4,4,5
"187",2,5,3,6,6,7,5,4,4,4,14,5,5,6,6,3,7,5,6,4,6,6,8,4,5,6,8,4
"188",5,3,5,3,7,3,7,6,8,6,10,9,3,7,6,3,4,8,6,4,6,5,5,4,6,4,7,5
"189",6,1,6,6,2,3,5,3,3,5,8,3,7,7,5,5,2,4,4,5,5,4,6,7,8,6,5,4
"190",4,7,7,6,5,6,8,4,5,4,10,7,7,4,5,6,6,4,8,4,8,8,7,10,8,7,11,5
"191",6,5,5,7,5,7,7,4,3,5,7,4,7,5,4,2,3,6,6,5,5,3,7,4,5,5,5,7
"192",9,10,8,10,8,5,8,10,9,2,1,10,9,6,8,6,10,2,8,10,1,7,9,11,11,4,13,4
"193",4,5,2,4,5,3,6,5,5,6,9,11,5,7,6,1,6,8,4,6,2,5,7,6,5,3,7,3
"194",3,4,3,3,1,1,4,5,7,2,3,10,5,4,5,7,8,0,9,7,1,9,4,6,5,2,10,6
"195",7,7,9,5,5,9,5,7,6,6,5,10,6,7,7,3,8,7,7,6,9,6,7,11,10,8,11,5
"196",7,7,4,5,5,4,6,4,5,4,8,5,3,7,5,5,7,5,5,3,5,4,9,5,7,8,6,7
"197",8,4,4,5,7,7,5,6,1,7,7,4,3,6,3,5,6,4,3,5,8,4,6,8,5,7,4,7
"198",3,7,4,7,5,4,9,5,6,6,10,9,5,5,8,5,7,6,3,7,6,6,4,8,7,3,10,5
"199",3,6,5,4,6,6,7,3,5,7,11,8,2,4,4,7,4,5,4,7,7,7,6,5,6,7,9,5
"200",6,5,7,6,5,4,6,8,9,4,4,9,9,9,2,5,8,0,8,7,6,6,11,7,6,7,11,3
"201",8,5,6,5,4,3,5,4,4,5,12,5,3,7,6,7,5,7,4,4,7,4,8,6,8,8,8,7
"202",5,7,8,8,6,3,4,5,6,5,8,4,3,4,7,3,5,3,6,4,7,2,6,4,8,7,9,3
"203",6,5,6,8,5,4,6,9,10,5,4,9,9,9,3,4,7,0,8,8,6,5,11,8,7,7,10,4
"204",5,5,4,6,5,6,4,5,6,6,9,6,3,7,6,4,5,7,4,7,3,3,8,3,3,6,6,2
"205",9,9,9,10,7,5,10,9,7,6,2,9,9,5,7,3,9,1,8,7,1,9,10,10,9,10,14,6
"206",8,6,7,7,6,5,9,7,8,7,3,9,9,4,6,5,9,4,8,9,1,9,9,10,9,6,13,7
"207",6,7,3,5,3,6,6,7,5,3,12,9,5,5,7,2,7,3,6,5,5,6,11,4,7,7,11,7
"208",3,5,2,1,5,4,2,3,8,1,3,11,7,6,6,5,9,3,8,4,4,9,9,10,8,9,14,7
"209",5,5,4,3,3,3,3,3,0,7,9,8,4,5,6,1,5,7,7,3,5,5,12,9,10,7,8,4
"210",7,7,5,8,6,3,8,7,5,3,2,10,8,4,7,5,9,5,9,3,4,9,7,11,9,10,10,3
"211",10,9,8,5,9,8,8,7,8,4,3,11,8,3,7,3,9,5,7,8,9,10,7,10,8,6,10,6
"212",7,6,6,3,5,3,7,5,1,9,10,5,4,2,10,2,5,7,7,5,3,8,7,10,7,4,9,4
"213",2,3,1,0,7,4,0,6,10,2,3,10,6,9,6,5,7,2,7,4,8,8,9,11,4,9,10,6
"214",8,3,5,3,6,7,7,6,6,5,10,5,4,3,7,4,3,6,5,6,4,4,7,7,9,7,8,6
"215",5,6,4,4,6,7,8,6,5,3,8,4,4,6,1,7,5,5,4,5,5,8,11,4,4,6,5,4
"216",6,4,6,9,7,8,6,3,5,6,12,8,3,6,8,2,6,10,1,2,7,1,12,10,9,10,10,7
"217",4,7,7,8,6,5,5,5,3,6,11,5,6,6,7,2,5,9,2,4,7,4,8,9,9,9,11,6
"218",6,7,8,7,7,8,5,3,4,5,10,7,4,7,8,2,4,7,4,3,9,5,11,7,7,10,9,8
"219",2,8,9,4,4,6,7,7,5,3,6,9,6,8,3,2,8,2,9,9,9,9,9,10,10,10,13,9
"220",10,10,9,8,10,5,10,10,9,2,0,12,10,9,6,6,9,1,10,10,5,9,5,11,10,5,12,3
"221",9,6,10,2,9,9,5,6,7,4,1,7,6,9,5,6,10,0,10,9,3,10,6,11,11,6,11,7
"222",6,2,6,7,3,5,5,3,6,4,10,5,6,5,9,4,4,7,3,8,5,4,11,7,5,7,6,6
"223",5,5,5,6,5,8,4,7,7,6,10,7,6,5,6,6,3,8,4,4,7,5,7,7,6,5,9,9
"224",5,6,6,3,7,2,7,2,7,3,3,8,8,6,5,6,8,1,10,8,4,10,8,9,11,7,14,5
"225",7,4,2,6,4,1,8,4,1,1,6,2,9,4,6,0,5,6,6,8,5,4,8,8,6,6,8,2
"226",6,6,4,6,5,8,5,5,6,6,12,6,3,5,6,4,5,8,5,3,8,6,6,8,9,6,9,6
"227",7,9,5,6,8,9,10,7,7,5,3,9,9,7,5,4,9,5,8,5,2,4,10,9,8,5,10,1
"228",5,4,6,7,6,4,4,2,5,4,9,10,3,5,6,4,9,7,3,6,8,2,11,10,9,9,9,5
"229",6,7,5,8,6,5,9,5,2,6,8,6,3,7,9,5,4,6,6,5,4,6,8,10,8,8,9,6
"230",5,9,9,8,8,5,8,4,6,3,6,7,7,6,8,6,9,3,8,7,6,5,10,8,9,8,9,9
"231",7,7,7,8,7,3,6,4,7,2,7,7,6,4,8,6,6,6,3,1,6,5,11,11,11,11,12,7
"232",7,5,3,4,5,6,3,4,6,5,5,9,6,7,4,6,9,0,9,9,0,8,4,9,7,1,14,5
"233",6,9,4,7,6,8,9,4,6,5,6,8,7,6,10,3,9,3,5,6,5,7,7,12,11,7,12,5
